Salary,Years of Experience,Education Level,Age
90000,5.0,Bachelor Degree or Equivalent,32
65000,3.0,Master Degree or Equivalent,28
150000,15.0,Doctorate or Equivalent,45
60000,7.0,Bachelor Degree or Equivalent,36
200000,20.0,Master Degree or Equivalent,52
55000,2.0,Bachelor Degree or Equivalent,29
120000,12.0,Master Degree or Equivalent,42
80000,4.0,Bachelor Degree or Equivalent,31
45000,1.0,Bachelor Degree or Equivalent,26
110000,10.0,Doctorate or Equivalent,38
75000,3.0,Master Degree or Equivalent,29
140000,18.0,Bachelor Degree or Equivalent,48
65000,6.0,Bachelor Degree or Equivalent,35
130000,14.0,Master Degree or Equivalent,40
40000,2.0,Bachelor Degree or Equivalent,27
125000,16.0,Bachelor Degree or Equivalent,44
90000,7.0,Master Degree or Equivalent,33
115000,12.0,Doctorate or Equivalent,39
35000,0.0,Bachelor Degree or Equivalent,25
180000,22.0,Bachelor Degree or Equivalent,51
80000,5.0,Master Degree or Equivalent,34
190000,19.0,Master Degree or Equivalent,47
50000,2.0,Bachelor Degree or Equivalent,30
60000,9.0,Bachelor Degree or Equivalent,36
140000,13.0,Master Degree or Equivalent,41
45000,3.0,Bachelor Degree or Equivalent,28
110000,11.0,Master Degree or Equivalent,37
40000,1.0,Bachelor Degree or Equivalent,24
140000,15.0,Doctorate or Equivalent,43
90000,6.0,Master Degree or Equivalent,33
250000,25.0,Bachelor Degree or Equivalent,50
55000,4.0,Bachelor Degree or Equivalent,31
65000,10.0,Bachelor Degree or Equivalent,39
170000,20.0,Doctorate or Equivalent,46
45000,2.0,Bachelor Degree or Equivalent,27
60000,7.0,Bachelor Degree or Equivalent,35
115000,14.0,Master Degree or Equivalent,42
40000,1.0,Bachelor Degree or Equivalent,26
160000,21.0,Bachelor Degree or Equivalent,49
190000,18.0,Master Degree or Equivalent,48
60000,3.0,Bachelor Degree or Equivalent,30
45000,8.0,Bachelor Degree or Equivalent,36
130000,13.0,Master Degree or Equivalent,41
40000,2.0,Bachelor Degree or Equivalent,28
75000,5.0,Bachelor Degree or Equivalent,32
180000,16.0,Master Degree or Equivalent,45
120000,11.0,Doctorate or Equivalent,38
130000,22.0,Bachelor Degree or Equivalent,51
85000,7.0,Master Degree or Equivalent,33
60000,12.0,Bachelor Degree or Equivalent,40
200000,19.0,Master Degree or Equivalent,47
50000,3.0,Bachelor Degree or Equivalent,29
95000,9.0,Bachelor Degree or Equivalent,36
65000,2.0,Master Degree or Equivalent,27
140000,17.0,Doctorate or Equivalent,43
55000,4.0,Bachelor Degree or Equivalent,30
105000,7.0,Master Degree or Equivalent,35
170000,23.0,Master Degree or Equivalent,51
80000,12.0,Bachelor Degree or Equivalent,40
180000,21.0,Doctorate or Equivalent,47
