Education Level,Salary,Years of Experience,Age
NA,103110.08171765343,11.237177936373532,21.0
Bachelor Degree or Equivalent,285000,9.0,29.5
Bachelor Degree or Equivalent,250000,23.0,49.5
Bachelor Degree or Equivalent,156000,7.0,29.5
Bachelor Degree or Equivalent,23456,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,96828,21.0,39.5
Associate Degree or Short-cycle Tertiary Education,135000,3.0,39.5
Bachelor Degree or Equivalent,80000,3.0,29.5
Master Degree or Equivalent,64254,15.0,49.5
Bachelor Degree or Equivalent,103110.08171765343,11.237177936373532,29.5
Bachelor Degree or Equivalent,103110.08171765343,3.0,29.5
Bachelor Degree or Equivalent,78003,9.0,29.5
Bachelor Degree or Equivalent,75000,9.0,29.5
Master Degree or Equivalent,150000,0.0,39.5
Master Degree or Equivalent,187407,7.0,29.5
Master Degree or Equivalent,107090,10.0,39.5
Bachelor Degree or Equivalent,45149,2.0,39.5
Master Degree or Equivalent,58899,6.0,29.5
Primary Education,14,0.0,18.0
Associate Degree or Short-cycle Tertiary Education,75010,14.0,39.5
Bachelor Degree or Equivalent,60828,6.0,29.5
Professional Degree,85672,5.0,29.5
Bachelor Degree or Equivalent,120000,6.0,29.5
Professional Degree,69608,10.0,29.5
Master Degree or Equivalent,37481,10.0,39.5
Master Degree or Equivalent,103743,10.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,9.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,10.0,39.5
Bachelor Degree or Equivalent,38483,2.0,39.5
Associate Degree or Short-cycle Tertiary Education,74963,15.0,39.5
Bachelor Degree or Equivalent,237974,19.0,39.5
Bachelor Degree or Equivalent,26374,5.0,29.5
Secondary Education,53545,7.0,29.5
Master Degree or Equivalent,74963,5.0,29.5
Bachelor Degree or Equivalent,42836,13.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,11.237177936373532,39.5
Associate Degree or Short-cycle Tertiary Education,130000,15.0,59.5
Master Degree or Equivalent,53982,2.0,29.5
Bachelor Degree or Equivalent,136552,6.0,29.5
Master Degree or Equivalent,14503,4.0,29.5
Bachelor Degree or Equivalent,111527,2.0,21.0
Secondary Education,103110.08171765343,5.0,29.5
Bachelor Degree or Equivalent,165000,16.0,49.5
Associate Degree or Short-cycle Tertiary Education,63000,2.0,21.0
Secondary Education,98000,14.0,39.5
Bachelor Degree or Equivalent,101490,9.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,11.237177936373532,59.5
Master Degree or Equivalent,149894,28.0,59.5
Master Degree or Equivalent,103110.08171765343,1.0,39.5
Bachelor Degree or Equivalent,1721,2.0,29.5
Secondary Education,103110.08171765343,11.237177936373532,18.0
Bachelor Degree or Equivalent,103110.08171765343,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,65000,30.0,49.5
Secondary Education,44978,11.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,11.237177936373532,21.0
Master Degree or Equivalent,105000,4.0,29.5
Bachelor Degree or Equivalent,160634,8.0,29.5
Master Degree or Equivalent,82459,9.0,39.5
