@relation Combined_Dataset

@attribute 'Years of Experience' numeric
@attribute 'Education Level' {'Bachelor Degree or Equivalent','Master Degree or Equivalent','Doctorate or Equivalent',NA,'Associate Degree or Short-cycle Tertiary Education','Primary Education','Professional Degree','Secondary Education'}
@attribute Age numeric
@attribute Salary_Level {low,medium,high}

@data
41,'Master Degree or Equivalent',59.5,high
15,'Bachelor Degree or Equivalent',39.5,low
2,'Bachelor Degree or Equivalent',39.5,low
20,'Associate Degree or Short-cycle Tertiary Education',39.5,high
13,'Master Degree or Equivalent',39.5,high
9,'Secondary Education',29.5,medium
8,'Bachelor Degree or Equivalent',29.5,medium
4,'Bachelor Degree or Equivalent',29.5,low
17,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
20,'Bachelor Degree or Equivalent',49.5,medium
6,'Bachelor Degree or Equivalent',21,low
4,'Associate Degree or Short-cycle Tertiary Education',21,low
3,'Bachelor Degree or Equivalent',21,medium
10,'Master Degree or Equivalent',29.5,high
10,'Bachelor Degree or Equivalent',29.5,medium
8,'Associate Degree or Short-cycle Tertiary Education',39.5,low
7,'Bachelor Degree or Equivalent',29.5,low
5,'Bachelor Degree or Equivalent',29.5,medium
6,'Secondary Education',29.5,high
4,'Bachelor Degree or Equivalent',21,medium
12,'Bachelor Degree or Equivalent',29.5,high
8,'Associate Degree or Short-cycle Tertiary Education',29.5,high
5,'Bachelor Degree or Equivalent',29.5,low
8,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
4,'Master Degree or Equivalent',29.5,medium
8,'Bachelor Degree or Equivalent',39.5,high
3,'Secondary Education',21,low
1,'Master Degree or Equivalent',29.5,medium
3,'Bachelor Degree or Equivalent',39.5,medium
10,'Bachelor Degree or Equivalent',39.5,low
10,'Professional Degree',39.5,medium
5,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
8,'Master Degree or Equivalent',29.5,high
25,'Bachelor Degree or Equivalent',49.5,high
5,'Master Degree or Equivalent',29.5,low
12,'Master Degree or Equivalent',39.5,low
10,'Professional Degree',39.5,medium
39,'Associate Degree or Short-cycle Tertiary Education',59.5,high
15,?,70,high
2,'Bachelor Degree or Equivalent',39.5,high
11,'Associate Degree or Short-cycle Tertiary Education',39.5,high
7,'Bachelor Degree or Equivalent',29.5,medium
8,'Bachelor Degree or Equivalent',29.5,medium
1,'Master Degree or Equivalent',21,medium
22,'Bachelor Degree or Equivalent',51,high
0,'Bachelor Degree or Equivalent',29.5,low
7,'Bachelor Degree or Equivalent',29.5,medium
36,'Master Degree or Equivalent',59.5,high
20,'Secondary Education',59.5,low
22,'Associate Degree or Short-cycle Tertiary Education',49.5,high
30,'Secondary Education',49.5,low
15,'Bachelor Degree or Equivalent',39.5,low
6,'Bachelor Degree or Equivalent',29.5,high
7,'Master Degree or Equivalent',29.5,low
8,'Master Degree or Equivalent',29.5,low
8,'Bachelor Degree or Equivalent',29.5,high
2,'Bachelor Degree or Equivalent',29.5,medium
7,'Bachelor Degree or Equivalent',29.5,low
31,'Bachelor Degree or Equivalent',59.5,high
12,'Bachelor Degree or Equivalent',29.5,high
23,'Bachelor Degree or Equivalent',49.5,high
50,'Master Degree or Equivalent',70,medium
1,'Master Degree or Equivalent',29.5,low
26,'Bachelor Degree or Equivalent',49.5,medium
20,'Master Degree or Equivalent',39.5,medium
7,'Master Degree or Equivalent',29.5,low
8,'Bachelor Degree or Equivalent',29.5,high
10,'Secondary Education',29.5,high
14,'Bachelor Degree or Equivalent',29.5,medium
8,'Bachelor Degree or Equivalent',29.5,low
9,'Primary Education',21,high
18,'Bachelor Degree or Equivalent',39.5,low
4,'Master Degree or Equivalent',29.5,low
8,'Bachelor Degree or Equivalent',29.5,low
8,'Bachelor Degree or Equivalent',29.5,high
1,'Bachelor Degree or Equivalent',21,low
0,'Primary Education',21,low
13,'Master Degree or Equivalent',39.5,high
13,'Associate Degree or Short-cycle Tertiary Education',29.5,high
12,?,39.5,medium
4,'Master Degree or Equivalent',29.5,low
3,'Master Degree or Equivalent',29.5,medium
12,'Associate Degree or Short-cycle Tertiary Education',49.5,low
19,'Bachelor Degree or Equivalent',39.5,high
11.237178,'Bachelor Degree or Equivalent',29.5,medium
8,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
15,'Bachelor Degree or Equivalent',39.5,medium
7,'Master Degree or Equivalent',29.5,high
9,'Bachelor Degree or Equivalent',29.5,low
4,'Bachelor Degree or Equivalent',29.5,low
35,'Master Degree or Equivalent',59.5,medium
16,'Master Degree or Equivalent',39.5,high
20,'Secondary Education',39.5,high
12,'Bachelor Degree or Equivalent',39.5,high
6,'Master Degree or Equivalent',39.5,high
12,'Bachelor Degree or Equivalent',39.5,medium
5,'Bachelor Degree or Equivalent',29.5,high
11,'Associate Degree or Short-cycle Tertiary Education',29.5,low
